,rating,rating_title,rating_description,rating_pros,rating_cons
0,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
1,2.0,No Value for Tenured Employees,"If you are looking for a company that will value you as time goes by, look somewhere else. After 18+ hard years, management raised the expectations of my job making it basically impossible to complete the tasks in the time allotted. They pushed most people out of the company who weren’t in management who had been there as long as I had. ",,
2,5.0,good,It is  good company better company it's with good job . your company my self product with my seller good condition your nice company imploy good job you are best,good,very nice
3,5.0,Actively looking for job change in Big data technologies,Actively looking for job change in Big data technologies. I am having total 5.8 years of experience in IT industry. I am ready to work on any technology.,,
4,5.0,Great place to work at`,"Everything is good except it is extremely hard to advance further up. Flexible hour and decent pay. If you start out as a part time, be prepared to stay as a part time for a long while before you can even get promoted to full time",,
5,4.0,Good working place,Good place to work at with great salary and occasional food for employees. The interview process is a bit tricky but be yourself and you have a chance of getting in.,,
6,5.0,Very professional environment,"Member Services Representative addresses member inquiries, questions and concerns in all areas including enrollment, claims, benefit interpretation, and referrals/authorizations for medical care. Responsible for receiving, responding to, and directing member phone calls, or written questions",None,None
7,5.0,Très bon lieu d'apprentissage pour les fans de technologies,"en dehors des horaires qui sont très peu accomodantes, le salaire et l'évolution dans la compagnie sont assez rapides et axées sur les statistiques. Bel endroit pour des rencontres en tout genre et managers très à l'écoute des employés.",possibilité de temps partiel et de congés sans solde,pas beaucoup d'horaires de travail pour les étudiants et très peu de télétravail
8,5.0,"While employed, it was a great learning experience.",Great company and products (1990-1992). I supported several clients/groups. Solid training and having the opportunity to work with and meet some fine people.,Working with management and employees.,Reorganization
9,5.0,Workplace ,I really Like how Apple plays a role on the back life’s matter movement and that really shows how Apple takes a stand against racism and injustice and inequality ,,
10,5.0,"A positive, fun and motivating culture where you are recognised as an individual that can positively change lives.","By far the best working environment. The team became my closest friends and family. I felt recognised as an individual with a unique skill set that could contribute positively to the team. The team of employees all had this unique drive with the same one intention to embrace peoples needs and enable them to better their life using technology. I left the job with extremely valuable skills, memorable stories to tell and a several life long buddies.",The culture,I can't think of any
